system:index,NTL,month,.geo
0,1.9545831202420412,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.062934618198609,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.7612878176253686,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.591866227838347,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.619343750088739,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5877406576059334,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.413565612768715,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5118545985800937,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.565858505191905,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5736826870201361,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.4357430117452066,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
